Country,date,Alt_Mean_co2,lat,long,Alt_Mean_no2,Alt_Mean_ch4,Alt_Mean_o3
Afghanistan,2004-02-01,0.0025219681499999997,-213.45999999999998,-133.62999999999997,9.2225386e-09,3.7168603e-06,1.75521698e-05
Afghanistan,2004-02-02,0.0010300958700000002,-71.74,-11.480000000000018,3.51266121e-09,1.56542221e-06,7.2176699e-06
Afghanistan,2004-02-03,0.00126199414,-59.65,438.51,4.2204733999999994e-09,1.8101973400000001e-06,9.3180935e-06
Afghanistan,2004-02-04,0.0010257943900000002,-24.73,223.73000000000005,3.37354307e-09,1.53283503e-06,7.4544826e-06
Afghanistan,2004-02-05,0.0020274977100000003,-9.84,101.68,6.60681279e-09,3.2752813699999998e-06,1.4507006000000002e-05
Afghanistan,2004-02-06,0.00130841414,25.299999999999997,98.35999999999999,4.10173192e-09,2.23004701e-06,8.5623779e-06
Afghanistan,2004-02-07,0.00182753856,85.5,53.51999999999998,5.96351941e-09,2.7794835499999996e-06,1.15678044e-05
Afghanistan,2004-02-08,0.0015508749900000002,113.43,74.61999999999998,5.0100437599999996e-09,2.28440459e-06,9.626763699999999e-06
Afghanistan,2004-02-09,0.0020466053400000003,205.92999999999998,16.299999999999983,6.705215209999999e-09,2.8572357700000003e-06,1.2640475299999998e-05
Aland Islands,2004-02-10,0.00154827216,202.37,12.800000000000004,5.14290583e-09,1.98412144e-06,9.4638598e-06
Afghanistan,2004-02-10,0.0002648026,31.55,168.89,5.910396e-10,3.2279385e-07,1.4763674e-06
Aland Islands,2004-02-11,0.00184507731,283.87,-123.32,5.441389550000001e-09,2.22991887e-06,1.1194084400000001e-05
Aland Islands,2004-02-12,0.00130906666,235.77,163.57000000000002,3.37845759e-09,1.46155813e-06,8.0229195e-06
Aland Islands,2004-02-13,0.0018665308700000001,377.28999999999996,-145.22,3.92337018e-09,2.00185535e-06,1.09000881e-05
Albania,2004-02-13,0.0002612641,55.03,15.02,4.335765e-10,2.580373e-07,1.5227438e-06
Albania,2004-02-14,0.00191861547,416.64,137.51,3.5415748999999997e-09,1.77533433e-06,1.07139652e-05
Algeria,2004-02-15,0.00250766912,579.6700000000001,-56.05000000000001,4.24340738e-09,2.31229787e-06,1.3664979100000001e-05
Algeria,2004-02-16,0.00139416396,338.32,-83.26999999999995,2.3226883500000003e-09,1.29140578e-06,7.6298611e-06
